SUBMISSION_ID,RESPONDENT_ID,LOAN_ID,SUBMITTED_AT,NPS_SCORE,MAIN_REASON,IMPROVEMENT_SUGGESTION,HAPPY_WITH_DEVICE,HAPPY_WITH_SERVICE,PAYMENT_DELAY,SUPPORT_DIFFICULTY,BATTERY_ISSUE,USES_MOAPP,PREFERRED_CHANNEL
BzK4Q11,k4z1Y6,2025-04-22 15:15,rec2FCxHhqXw6aKRU,6,,Unlocking my phone,Yes,Yes,Yes,Yes,No,Yes,MoPhones App
b59V45Z,AY9GMk,2025-04-22 15:18,recQcLWbPcep18Wdw,10,Response team always on time,,Yes,Yes,No,No,No,Yes,Free SMS
GxKvYKO,eGz8Ek,2025-04-22 15:31,recei9UEU0e5F9HuG,5,Fingerprint doesn't work,Good service,No,No,No,Yes,No,Yes,Phone Call
A7KP49z,LjOx7j,2025-04-22 15:40,recosDWAJvWzAKgLv,1,Delays,,No,No,Yes,Yes,Yes,Yes,
81zo6pr,7YE0RR,2025-04-22 15:40,recTJng0Mj0dJP1kv,1,Not satisfied with phone,,No,No,Yes,Yes,Yes,Yes,MoPhones App
xXjxR5J,RQjeLp,2025-04-22 15:41,recPKFOtpkS0z9Kpp,10,Great service,,Yes,Yes,No,No,No,Yes,Phone Call
GxKvQ6L,ljz2Mo,2025-04-22 15:41,rechy4Nf0Ihxrdy85,10,,,,,,,,
rjBykB2,k4zjvo,2025-04-22 15:42,recayIesPKGAMilkX,0,,,,,,,,
5B4KeaM,k4zjZJ,2025-04-22 15:42,rec86PnPzgTEunR4Q,9,,None,No,No,Yes,Yes,No,Yes,MoPhones App
5B4Kp16,rQY9pN,2025-04-22 15:44,recJKsUBTzHl4IGK3,10,N/A,,Yes,Yes,Yes,No,No,Yes,Phone Call
eqDZYBO,AY9RGD,2025-04-22 15:44,recUmt3DbYL0gb025,10,None,,Yes,Yes,No,No,No,Yes,Reach Out via Sales Agent
aQeNaYv,yRD5Dg,2025-04-22 15:44,recVOllpG6mFoGtaV,8,Battery needs replacement,,No,Yes,No,No,Yes,Yes,Phone Call
dWNqK2d,gVzV5M,2025-04-22 15:44,reciMIpVjO2lBzHt8,7,Payment terms harsh,,Yes,Yes,Yes,No,No,No,Phone Call
WOr9jYJ,AY9RN0,2025-04-22 15:45,receJwqtM49LS8gE8,10,Happy with service,,Yes,Yes,Yes,No,No,No,Phone Call
zxNX1Q8,4YO00O,2025-04-22 15:45,recB2N3ejw9jeBo4l,0,Phone not working,Fix charging,No,No,Yes,Yes,Yes,Yes,Phone Call